Id,Location,Price,Manufacturer,Model,Year,Category,Mileage,Fuel type,Engine Volume,Cylinders,Gear box type,Drive wheels,Doors,Airbags,Wheel,Color,Interior color,Interior material,Exchange,Technical inspection,Catalyst,Steering Hydraulics,On-Board Computer,Air Conditioning,Parking Control,Rear View Camera,Electric Side Mirros,Climate Control,Cruise Control,Start-Stop System,Sunroof,Heated Seats,Memory Seats,ABS,ESP,Central Locking,Alarm System,Fog Lamp,Central Screen (Navigation),AUX,Bluetooth,Multifunction Steering Wheel,Rims,Spare Tyre,Didabled Accessible,Undamaged,Clean History,Newly Imported,Low Consumption,Limited edition,Unpainted,One owner,Urgently,European,Perfect condition,For family,Pawnshop,Third row
93284442,Tbilisi,188042,Mercedes-Benz,G 550,2017,Jeep,108000,Petrol,4.0 turbo,8,Tiptronic,4x4,4/5,12,Left,Black,Black,Leather,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
94416194,Tbilisi,38130,BMW,428,2015,Sedan,103950,Petrol,2.0 ,4,Tiptronic,Rear,4/5,9,Left,White,Red,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95335570,Tbilisi,80962,Toyota,RAV 4,2020,Jeep,26000,Hybrid,2.5 ,4,Automatic,4x4,4/5,9,Left,Blue,Black,Combined,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95470114,Tbilisi,21938,Mercedes-Benz,Vito,2007,Goods wagon,321000,Diesel,2.2 turbo,4,Tiptronic,4x4,4/5,4,Left,Red,Grey,Fabric,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
85990507,Tbilisi,55,Toyota,Prius,2013,Sedan,176000,Hybrid,1.8 ,4,Variator,Front,4/5,4,Left,White,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95216426,Tbilisi,71821,Mercedes-Benz,GLE 350,2017,Jeep,59000,Petrol,3.5 ,6,Automatic,4x4,4/5,9,Left,Black,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95516346,Tbilisi,42831,Toyota,RAV 4,2019,Jeep,34000,Petrol,2.5 ,4,Tiptronic,4x4,4/5,12,Left,Grey,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
93287758,Tbilisi,391,Mercedes-Benz,Vito,2018,Minivan,187000,Diesel,2.2 ,4,Automatic,Rear,4/5,8,Left,Blue,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
95500426,Tbilisi,45704,Mercedes-Benz,ML 350,2012,Jeep,148000,Petrol,3.5 ,6,Tiptronic,4x4,4/5,12,Left,White,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
91680074,Tbilisi,391,Lexus,GX 460,2020,Jeep,56000,Petrol,4.6 ,6,Automatic,4x4,4/5,12,Left,Grey,Brown,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
88991458,Tbilisi,66598,Mercedes-Benz,GL 350,2013,Jeep,210000,Diesel,3.0 turbo,4,Tiptronic,4x4,4/5,12,Left,Black,Grey,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95204402,Tbilisi,11000,Toyota,IQ,2009,Coupe,129057,Petrol,1.0 ,4,Variator,Front,2/3,9,Right,Black,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94469790,Tbilisi,63986,Toyota,RAV 4,2020,Crossover,45000,Petrol,2.5 ,4,Automatic,Front,4/5,10,Left,Silver,White,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
95444778,Tbilisi,33429,Mazda,CX-3,2019,Jeep,62400,Petrol,2.0 ,4,Automatic,4x4,4/5,7,Left,Grey,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
93571102,Tbilisi,36563,Subaru,Crosstrek,2018,Jeep,90000,Petrol,2.0 ,4,Tiptronic,4x4,4/5,8,Left,White,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
92676594,Rustavi Car Market,51189,Toyota,RAV 4,2018,Jeep,118400,Petrol,2.5 ,4,Automatic,4x4,4/5,12,Left,Grey,Black,Leather,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
71377355,Tbilisi,60,Toyota,Prius C,2014,Sedan,230400,Hybrid,1.5 ,4,Variator,Front,4/5,9,Left,Red,Black,Fabric,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
82592447,Tbilisi,56151,Hyundai,Tucson,2019,Jeep,18000,Petrol,2.4 ,4,Tiptronic,4x4,4/5,12,Left,Black,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95010718,Tbilisi,248,Mercedes-Benz,GLE 350,2017,Jeep,22000,Petrol,3.5 ,6,Automatic,4x4,4/5,12,Left,Grey,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
94960022,Tbilisi,65292,Lexus,NX 300,2018,Jeep,126400,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,10,Left,White,Beige,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
83295615,Tbilisi,100,Hyundai,Tucson,2014,Jeep,98000,Petrol,2.4 ,8,Automatic,Front,4/5,8,Left,Black,Black,Leather,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
92784130,Tbilisi,80,Hyundai,Elantra,2014,Sedan,103000,Petrol,1.8 ,4,Tiptronic,Front,4/5,4,Left,Grey,Black,Fabric,No,Yes,,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95010106,Tbilisi,250,Mercedes-Benz,GLE 350,2017,Jeep,5500,Petrol,3.5 ,6,Automatic,4x4,4/5,12,Left,Grey,Black,Leather,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
88405686,Rustavi,74433,Hyundai,Tucson,2022,Jeep,630,Petrol,2.5 ,4,Tiptronic,4x4,4/5,12,Left,White,Black,Fabric,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
95514834,Tbilisi,40481,Mercedes-Benz,Sprinter,2014,Goods wagon,193000,Diesel,2.2 turbo,4,Manual,Rear,2/3,4,Left,White,Black,Fabric,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
